battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,brand_name
987.0,0,1.3,1,0,1,61,0.4,107,3,9,581.0,820,3963.0,9,4,20,1,0,1,3,Samsung
1757.0,0,0.5,0,8,0,49,0.5,180,6,14,265.0,713,2056.0,7,5,4,0,0,0,1,OnePlus
1063.0,0,1.4,1,2,1,48,1.0,128,5,4,127.0,683,,15,13,9,1,1,1,2,Samsung
1484.0,0,3.0,0,3,0,12,0.6,134,3,5,916.0,969,1457.0,14,4,20,1,1,0,1,Apple
799.0,1,2.3,0,1,1,63,0.8,144,8,6,361.0,975,431.0,15,6,6,1,1,1,0,Realme
1156.0,1,1.2,1,0,1,50,0.8,159,2,0,322.0,547,470.0,7,0,15,1,1,0,0,Apple
1720.0,0,2.0,0,15,1,55,0.5,168,2,18,753.0,1353,2148.0,14,2,5,1,1,1,2,OnePlus
702.0,0,2.6,1,2,1,9,0.7,141,3,3,504.0,1570,2955.0,10,4,19,1,0,0,2,Motorola
616.0,0,1.9,1,13,1,44,0.8,81,3,17,651.0,1618,3366.0,18,8,13,1,1,0,3,OnePlus
1358.0,1,0.5,0,11,1,36,0.3,155,4,14,1565.0,1858,3068.0,9,4,4,1,1,0,3,Apple
,0,1.4,0,0,0,30,0.5,182,3,0,108.0,1781,3834.0,16,11,8,0,0,0,3,Motorola
1242.0,0,1.1,1,0,0,10,0.6,165,2,1,459.0,1225,1050.0,11,1,4,1,0,1,0,Apple
1166.0,0,1.5,1,0,1,43,0.8,80,4,1,205.0,603,3993.0,7,1,7,1,1,0,3,Realme
1448.0,1,0.5,1,6,1,45,0.8,138,7,11,570.0,1724,3378.0,13,11,2,1,1,1,3,OnePlus
1407.0,1,2.4,0,1,1,22,0.7,104,4,4,1172.0,1217,2192.0,9,7,13,1,0,1,2,OnePlus
605.0,0,1.0,0,8,1,9,0.1,142,3,16,160.0,1026,392.0,15,6,4,1,0,0,0,Motorola
1038.0,0,1.2,0,3,0,43,0.7,141,1,5,4.0,638,3709.0,11,0,12,1,1,1,3,Xiaomi
797.0,1,2.9,1,4,0,38,0.5,90,4,6,763.0,1413,590.0,9,2,6,0,1,0,0,Apple
819.0,0,0.6,1,8,1,42,0.9,188,6,20,339.0,1242,1814.0,5,4,13,1,0,1,1,Realme
1114.0,0,2.8,0,4,1,9,0.4,197,3,15,1040.0,1071,907.0,10,7,17,1,1,0,0,Vivo
1234.0,1,1.6,1,1,0,33,0.6,172,1,3,166.0,778,1449.0,11,7,6,0,0,1,0,Apple
1199.0,1,2.5,1,15,1,16,0.2,116,4,20,1168.0,1552,,17,13,10,1,0,1,3,Oppo
1103.0,0,1.0,1,6,0,29,0.7,111,6,8,990.0,1486,1837.0,8,7,16,0,1,1,1,Nokia
1589.0,1,0.6,1,0,1,58,0.9,85,7,7,319.0,1206,3464.0,19,10,6,1,1,1,3,Realme
999.0,0,2.9,1,11,1,64,0.2,199,4,19,1397.0,1616,2593.0,14,11,16,1,1,0,2,Motorola
1510.0,1,0.9,1,2,0,45,0.9,180,5,3,708.0,1752,3484.0,9,6,11,0,1,1,3,Realme
1008.0,0,0.8,0,11,0,61,1.0,114,3,15,1077.0,1122,2009.0,10,3,11,1,0,0,1,Motorola
1127.0,1,2.9,1,5,1,57,0.8,163,1,13,928.0,1049,2048.0,11,5,17,1,1,1,1,Nokia
1412.0,1,2.4,0,5,0,25,0.8,96,8,17,516.0,1894,837.0,15,9,4,0,0,1,1,Motorola
1496.0,1,2.0,1,4,0,42,0.5,182,5,5,96.0,741,854.0,16,0,7,0,1,1,0,Realme
1083.0,1,2.9,1,1,1,64,0.8,178,3,11,,1118,3210.0,13,3,4,1,0,0,3,Apple
668.0,0,0.5,1,0,0,3,0.1,155,5,13,666.0,1203,2746.0,9,5,8,1,1,1,2,Vivo
1309.0,0,1.1,1,0,0,33,0.5,100,4,14,557.0,1402,2334.0,10,1,11,1,0,1,2,Vivo
1724.0,0,2.0,1,2,1,57,0.5,177,3,5,1605.0,1924,2822.0,19,3,16,1,1,0,3,Samsung
1977.0,1,2.0,1,7,1,54,1.0,171,7,18,1226.0,1242,1971.0,18,7,14,1,1,0,2,Vivo
885.0,0,2.3,1,0,1,15,0.4,103,7,0,769.0,802,1410.0,16,10,5,1,1,1,0,Xiaomi
879.0,1,2.5,0,11,1,14,0.7,83,6,15,403.0,1105,349.0,16,10,2,1,0,1,0,Motorola
1322.0,0,1.7,1,6,0,7,0.8,140,3,9,177.0,1990,1418.0,19,17,12,0,1,0,1,Motorola
1137.0,1,1.0,0,18,0,7,1.0,196,3,19,942.0,1179,3616.0,13,5,12,1,1,1,3,Oppo
1355.0,0,2.3,0,10,1,23,0.2,132,5,16,651.0,891,880.0,19,4,8,1,1,0,0,Vivo
1665.0,1,0.5,0,3,1,60,0.2,194,6,18,1572.0,1684,1601.0,18,17,14,1,0,0,2,Apple
657.0,0,2.5,0,0,0,37,0.7,141,2,1,476.0,961,1412.0,14,3,18,0,1,0,0,OnePlus
593.0,0,0.5,0,6,0,31,0.4,156,7,7,1233.0,1317,1692.0,6,2,7,1,0,0,1,Oppo
1883.0,1,0.5,0,3,1,10,0.3,146,6,13,836.0,1739,2600.0,16,8,20,1,0,0,3,Apple
1732.0,1,1.1,0,4,1,12,0.8,119,8,9,824.0,881,1308.0,16,7,11,1,0,1,1,
543.0,0,0.5,0,0,0,57,0.7,192,5,4,391.0,984,2413.0,17,14,15,1,0,0,1,Oppo
1939.0,1,2.8,1,0,1,55,0.6,199,4,10,320.0,520,1047.0,14,10,18,1,1,0,0,Asus
553.0,0,2.4,1,1,1,8,0.5,121,7,3,325.0,902,1204.0,11,4,8,1,1,1,0,Apple
832.0,0,0.7,1,2,1,39,0.7,103,4,3,125.0,1504,1799.0,5,2,11,1,0,1,1,Realme
1661.0,0,1.9,1,5,0,23,1.0,172,5,10,846.0,1634,2676.0,12,6,11,0,1,1,3,Nokia
1657.0,1,2.4,0,3,0,42,0.1,198,5,16,,1796,2597.0,18,1,14,1,0,0,3,Apple
1135.0,1,2.0,1,0,0,46,0.3,83,1,4,293.0,1846,3029.0,19,17,9,1,1,1,3,Asus
1775.0,1,1.5,0,3,0,41,0.1,163,1,7,1633.0,1869,2343.0,19,13,14,1,1,1,3,OnePlus
783.0,0,1.8,1,0,1,43,1.0,106,3,4,1198.0,1471,2016.0,16,4,18,1,1,0,1,Motorola
617.0,1,2.3,0,0,0,32,0.5,199,7,20,768.0,874,2213.0,18,13,7,0,0,0,1,Oppo
867.0,0,1.4,1,0,1,4,0.7,135,6,1,70.0,1974,790.0,13,6,3,1,1,0,0,Oppo
1310.0,1,1.1,1,13,0,7,1.0,194,5,14,117.0,513,3182.0,8,4,5,1,1,0,2,Nokia
1804.0,0,0.5,0,9,1,22,0.6,153,7,19,1158.0,1244,3472.0,9,1,20,1,0,1,3,Oppo
1900.0,1,2.3,0,1,1,18,0.2,89,7,9,1055.0,1661,2871.0,12,1,13,1,1,1,3,
909.0,1,1.4,0,0,0,53,0.3,82,8,0,635.0,973,3187.0,12,9,4,1,0,0,2,
1084.0,1,2.6,0,3,1,40,0.9,107,3,11,322.0,771,1945.0,15,4,10,1,1,0,1,OnePlus
1308.0,0,1.3,1,8,0,46,0.9,199,1,12,275.0,989,488.0,5,3,9,0,1,0,0,OnePlus
,0,0.5,0,0,0,15,0.5,102,3,0,1445.0,1954,1214.0,5,0,14,1,0,0,1,Motorola
1701.0,1,1.6,1,3,0,10,0.3,194,8,7,550.0,1338,2598.0,12,9,6,0,1,0,2,Asus
772.0,1,2.4,1,1,1,10,0.5,80,4,2,1242.0,1712,3242.0,18,11,4,1,1,0,3,Vivo
825.0,1,0.5,1,7,0,52,0.9,130,3,10,597.0,863,3534.0,10,4,6,0,1,0,3,Samsung
1379.0,0,1.1,0,5,1,36,0.8,200,2,7,538.0,1376,3426.0,5,4,17,1,1,1,3,Samsung
1166.0,0,2.0,0,3,1,25,0.8,198,5,4,59.0,1203,2488.0,13,5,15,1,0,0,2,Xiaomi
1659.0,0,2.8,0,5,0,16,0.6,89,1,20,819.0,902,3255.0,19,14,9,0,0,1,3,Nokia
,1,2.4,1,0,1,58,0.3,88,4,1,179.0,786,2863.0,9,3,18,1,0,1,2,Nokia
1564.0,0,2.3,0,4,1,25,0.5,189,6,17,1259.0,1965,1496.0,6,4,7,1,1,1,1,Realme
1957.0,0,0.9,1,11,0,31,0.6,181,3,16,396.0,1732,,12,0,7,1,0,1,3,Asus
1571.0,0,1.4,0,0,1,19,0.1,100,6,1,713.0,1398,666.0,12,10,13,1,1,0,0,OnePlus
1414.0,0,2.0,1,2,0,54,0.8,99,7,3,262.0,829,3799.0,17,7,7,1,0,1,3,OnePlus
1790.0,0,2.5,1,9,0,2,0.1,184,1,14,622.0,792,1366.0,7,0,20,1,1,1,1,Vivo
645.0,0,0.5,0,1,0,41,1.0,197,7,10,327.0,580,2962.0,12,9,4,1,1,1,2,Samsung
668.0,0,2.9,1,7,0,30,0.2,195,8,12,522.0,1056,2399.0,10,5,7,1,1,1,1,Apple
1652.0,1,1.1,1,1,0,36,0.7,89,4,5,313.0,1264,2338.0,12,8,20,0,0,0,2,Apple
1213.0,1,0.5,0,0,0,16,0.5,108,5,0,226.0,1248,2700.0,12,3,9,0,0,1,2,Vivo
1272.0,1,2.5,1,0,0,22,0.9,133,6,8,605.0,669,2235.0,19,4,4,1,0,0,1,Apple
866.0,0,0.5,1,5,1,46,0.5,179,8,7,692.0,1686,3825.0,12,11,2,1,1,1,3,Realme
536.0,0,2.4,1,12,1,3,0.3,182,7,14,,1539,284.0,12,9,4,1,1,0,0,OnePlus
523.0,0,2.6,1,1,0,14,0.1,155,8,2,304.0,1042,1427.0,9,1,9,0,1,0,0,Realme
1753.0,0,0.5,1,0,1,31,0.1,134,1,18,1590.0,1926,1324.0,17,0,17,1,0,1,2,Vivo
1218.0,0,1.8,1,1,1,14,0.5,147,3,4,229.0,616,398.0,17,0,5,1,0,0,0,OnePlus
1537.0,1,2.5,0,4,1,43,0.3,137,1,5,839.0,1131,3685.0,18,17,17,1,1,1,3,
786.0,0,2.2,1,0,0,33,0.5,141,7,6,507.0,1697,2390.0,12,11,5,1,0,1,2,OnePlus
1678.0,0,2.1,0,3,1,64,0.9,134,3,11,436.0,536,278.0,19,0,10,1,1,0,0,OnePlus
1814.0,0,1.4,1,1,1,9,0.4,141,2,2,756.0,786,3556.0,18,12,16,1,0,0,3,OnePlus
,0,1.8,0,0,0,31,0.2,148,2,7,387.0,1269,2196.0,12,6,19,0,1,1,1,Oppo
1461.0,0,2.4,1,3,1,40,0.5,141,7,4,1265.0,1298,3799.0,16,1,4,1,0,0,3,OnePlus
1216.0,0,3.0,0,4,0,47,0.4,199,3,7,1852.0,1967,2268.0,13,5,4,0,1,1,2,Vivo
506.0,0,1.6,0,6,1,41,0.8,159,1,7,875.0,1025,2965.0,13,10,15,1,0,0,2,Samsung
843.0,1,0.5,0,1,1,56,0.1,147,5,17,140.0,800,2341.0,10,1,20,1,1,1,1,Xiaomi
742.0,0,2.2,1,4,0,56,0.2,190,7,14,577.0,1359,3557.0,16,11,12,0,1,1,3,Asus
1692.0,1,2.1,0,3,1,61,0.9,176,6,12,975.0,1996,1354.0,16,7,19,1,0,0,1,Samsung
1485.0,0,1.0,0,2,1,32,0.7,84,2,9,510.0,1013,2147.0,19,1,11,1,1,0,2,Xiaomi
1547.0,0,2.9,1,6,0,45,0.7,166,2,8,583.0,590,,12,2,3,0,1,1,0,Motorola
1692.0,0,2.3,1,4,1,46,0.9,139,1,6,,1925,1394.0,16,10,6,1,1,0,1,Motorola
637.0,0,2.3,0,3,1,60,0.8,97,4,4,1125.0,1989,374.0,18,4,8,1,0,1,0,Asus
1224.0,0,0.5,0,16,1,6,0.4,109,6,18,747.0,826,506.0,10,0,11,1,1,1,0,Asus
1356.0,0,2.8,0,0,0,29,0.5,198,6,0,1612.0,1983,,17,0,19,0,0,0,3,
1840.0,0,0.5,1,12,0,34,0.7,142,1,16,311.0,1545,1078.0,8,0,10,0,0,0,1,Motorola
1481.0,1,0.7,1,4,1,37,0.6,96,5,13,116.0,1533,2945.0,10,5,16,1,1,1,2,Nokia
961.0,1,1.5,1,10,0,51,0.3,152,6,16,554.0,621,2981.0,15,6,7,1,1,1,2,Nokia
1296.0,0,0.9,1,0,1,14,0.5,124,5,3,811.0,1272,490.0,7,1,4,1,1,1,0,Vivo
1193.0,0,0.9,0,11,0,26,0.5,166,1,20,730.0,1729,536.0,17,14,4,1,0,1,0,Motorola
1441.0,0,2.1,1,11,1,3,0.1,118,8,17,577.0,1071,2317.0,16,4,7,1,0,1,2,OnePlus
517.0,0,1.4,1,3,1,33,0.8,183,4,8,660.0,974,3704.0,17,16,11,1,0,1,3,Motorola
748.0,1,1.7,0,0,1,27,0.9,150,8,4,450.0,1554,2126.0,18,9,7,1,0,0,1,
1126.0,1,2.4,0,2,1,10,0.4,160,6,3,1223.0,1611,2050.0,7,6,12,1,1,1,2,OnePlus
1572.0,0,0.6,0,0,1,58,0.2,157,7,8,1109.0,1937,2462.0,12,8,10,1,0,0,3,Oppo
1569.0,0,2.8,1,17,0,44,0.3,110,4,20,45.0,1942,1260.0,9,2,17,1,0,0,1,Vivo
1270.0,1,0.6,1,2,1,32,0.5,101,7,6,299.0,845,3770.0,5,3,13,1,1,0,3,Nokia
1854.0,0,3.0,0,2,1,8,0.1,101,5,5,506.0,627,1886.0,17,4,20,1,1,0,1,Apple
625.0,1,1.2,1,5,1,10,0.2,183,4,8,635.0,842,3323.0,9,1,7,1,1,1,2,Nokia
1577.0,0,0.5,1,0,1,42,0.3,197,5,4,1045.0,1737,2060.0,19,6,12,1,0,0,2,Motorola
534.0,0,0.5,1,0,1,16,1.0,189,5,1,393.0,1199,3926.0,16,12,20,1,0,0,3,Asus
946.0,0,1.7,1,8,1,25,0.8,143,6,15,650.0,1740,2177.0,7,5,13,1,1,1,2,Oppo
685.0,0,0.5,0,2,0,29,0.8,93,7,10,433.0,648,728.0,14,8,4,0,0,1,0,Samsung
1949.0,0,1.3,1,0,0,23,0.1,101,5,1,839.0,1136,2478.0,14,8,20,1,0,0,3,OnePlus
,0,0.8,1,0,1,22,0.1,197,2,13,1176.0,1220,2842.0,16,12,2,1,0,0,2,Realme
801.0,1,2.2,1,2,0,63,0.4,165,7,4,650.0,879,1617.0,17,4,19,0,0,1,1,Motorola
703.0,1,2.7,0,12,1,30,0.3,113,1,20,218.0,1065,1472.0,14,7,7,1,0,0,0,Samsung
1165.0,1,2.4,0,11,0,41,0.2,178,6,12,564.0,831,,19,12,15,1,0,0,0,
1082.0,0,0.8,0,0,0,38,0.1,198,8,5,986.0,1191,2337.0,6,1,17,0,1,1,2,Vivo
959.0,1,2.6,1,15,0,20,1.0,84,4,19,561.0,1631,3965.0,16,1,6,1,0,0,3,Apple
1502.0,1,1.2,0,0,0,54,0.2,138,5,12,65.0,588,3693.0,17,14,16,1,1,0,3,Xiaomi
1380.0,1,2.1,1,1,1,4,0.8,92,3,13,420.0,500,,13,2,15,1,1,0,0,
1266.0,0,0.5,0,0,1,5,0.1,95,6,9,1365.0,1698,1687.0,11,0,18,1,0,0,2,Motorola
1934.0,1,2.6,1,0,1,46,0.1,103,1,17,619.0,1299,2940.0,13,9,2,1,1,1,3,Xiaomi
1905.0,1,0.5,0,3,1,6,0.5,151,1,5,849.0,898,1545.0,9,5,10,1,1,0,1,Motorola
1831.0,0,1.4,1,2,0,43,0.9,150,5,5,611.0,1381,3834.0,17,7,13,1,1,1,3,Xiaomi
596.0,0,1.4,0,8,0,46,0.6,165,1,18,953.0,984,2505.0,15,4,15,1,1,0,1,Xiaomi
1562.0,1,1.3,1,1,1,7,0.2,190,5,15,642.0,1533,,12,10,6,1,0,0,2,Oppo
1490.0,1,0.5,1,4,1,64,0.3,150,8,8,1417.0,1464,,17,9,7,1,1,1,3,Oppo
1523.0,1,2.4,0,5,1,57,0.2,117,2,6,,539,3971.0,18,12,10,1,1,1,3,Vivo
640.0,0,0.6,0,0,0,20,0.1,163,4,15,710.0,1179,2844.0,7,5,18,1,1,0,2,Apple
1526.0,0,2.1,0,1,1,23,0.2,117,7,8,718.0,751,2227.0,18,10,3,1,1,0,2,OnePlus
1989.0,0,2.5,1,0,1,41,0.8,94,3,13,1100.0,1497,1665.0,17,9,12,1,1,1,2,Vivo
1308.0,0,1.9,0,0,1,61,0.7,106,3,7,59.0,1215,3355.0,15,2,4,1,0,1,3,Samsung
609.0,0,0.5,0,3,0,26,0.3,93,4,4,938.0,1948,1866.0,11,10,14,1,1,1,1,OnePlus
1905.0,0,0.6,1,9,1,36,0.4,119,3,20,825.0,1542,1287.0,13,4,16,1,0,0,1,Asus
1703.0,1,0.5,0,0,1,22,0.6,192,1,0,286.0,1235,1046.0,5,4,13,1,0,1,0,Xiaomi
1445.0,1,2.4,1,7,1,20,0.4,173,7,15,1273.0,1345,1441.0,7,4,13,1,1,1,1,Motorola
1087.0,0,1.3,0,0,1,16,0.3,166,3,9,295.0,589,690.0,14,6,6,1,0,1,0,Motorola
671.0,0,0.9,1,10,0,30,0.7,105,7,17,852.0,1182,2504.0,6,4,15,1,0,0,2,Asus
1472.0,1,2.3,0,6,0,61,0.1,168,6,19,710.0,1052,2677.0,19,15,8,1,0,0,2,Nokia
765.0,0,0.5,1,0,1,47,0.3,115,8,1,1277.0,1429,,11,7,4,1,0,1,2,
1642.0,0,0.5,1,16,1,8,0.3,171,6,17,129.0,873,2984.0,13,4,17,1,0,1,2,OnePlus
1265.0,0,1.5,0,7,0,49,0.7,182,5,16,690.0,836,1362.0,5,0,12,0,0,1,1,Samsung
664.0,1,1.1,1,1,1,51,0.1,110,7,4,,1478,3629.0,19,15,6,1,1,1,3,Vivo
1277.0,1,0.5,1,0,1,35,0.4,142,6,6,309.0,1460,3559.0,18,17,6,1,1,0,3,Asus
1395.0,0,1.8,1,0,0,23,0.1,111,3,1,213.0,705,2571.0,11,0,13,1,0,1,2,Vivo
1539.0,1,2.6,0,0,0,41,0.1,159,8,0,1112.0,1666,2107.0,15,9,10,1,0,1,2,Oppo
1049.0,1,2.2,0,9,0,63,0.5,135,5,17,199.0,1077,1022.0,11,3,13,0,0,0,0,Nokia
1827.0,0,1.7,0,4,1,39,0.5,128,5,16,55.0,1020,2844.0,14,9,10,1,1,0,2,Vivo
903.0,0,1.0,1,0,1,50,0.4,91,1,0,1230.0,1235,711.0,9,5,10,1,1,0,0,OnePlus
,1,0.5,0,3,1,53,1.0,181,3,7,1052.0,1516,3117.0,18,5,8,1,1,1,3,Apple
1154.0,0,1.2,1,0,1,49,0.2,181,8,2,541.0,1499,978.0,5,3,7,1,0,1,0,Motorola
1336.0,0,0.9,0,5,1,17,0.2,194,5,9,55.0,583,1869.0,13,1,16,1,1,1,1,Vivo
1886.0,0,0.5,0,0,1,24,0.4,112,3,1,809.0,1958,1179.0,16,7,20,1,0,1,1,Apple
1551.0,0,1.1,0,4,0,51,0.1,88,5,6,1738.0,1995,3844.0,11,8,4,0,1,0,3,Oppo
850.0,1,1.6,1,6,1,29,0.5,133,5,19,404.0,642,593.0,19,17,10,1,0,1,0,Nokia
660.0,0,0.5,0,5,1,40,0.5,111,2,10,262.0,1178,,6,5,18,1,1,1,0,Apple
1225.0,1,2.1,1,8,0,13,0.5,116,4,12,759.0,1404,3836.0,12,11,11,0,0,0,3,Apple
1452.0,1,0.5,1,1,1,25,0.9,123,6,11,42.0,1040,2669.0,12,10,13,1,0,0,2,Nokia
1686.0,1,2.8,1,3,0,38,0.1,166,4,4,397.0,1453,2958.0,14,11,2,0,0,0,3,OnePlus
1634.0,1,1.4,0,1,1,17,0.2,200,2,5,964.0,1677,3031.0,11,6,6,1,1,1,3,Motorola
1708.0,1,2.4,1,18,1,49,0.1,109,1,19,233.0,517,3388.0,6,4,16,1,1,1,3,
1151.0,1,2.9,1,0,0,31,0.6,128,8,1,1022.0,1560,2377.0,18,8,13,0,1,0,2,Samsung
1578.0,0,1.9,1,2,1,37,0.1,138,4,19,411.0,1226,2458.0,19,16,3,1,0,1,2,Oppo
1689.0,0,1.8,0,17,0,24,0.3,127,3,18,954.0,1200,2766.0,7,2,7,0,1,1,3,Apple
1488.0,0,0.5,0,1,0,39,0.8,112,5,6,1528.0,1647,3054.0,14,10,19,0,0,0,3,Motorola
1313.0,1,1.8,1,4,0,9,0.4,105,1,6,416.0,1308,3791.0,11,10,6,0,1,1,3,Nokia
1715.0,0,1.0,1,4,1,31,0.5,83,8,17,638.0,1615,625.0,17,6,13,1,0,0,0,Vivo
1442.0,0,1.0,1,0,0,27,0.1,192,3,19,231.0,687,2227.0,6,5,20,1,1,0,1,OnePlus
